,review
0,100 malbec its redolent with dark plums wild blueberries and peppery spices the soft silky flavors are light but have good concentration with the oak 80 american seeming quite dialed back
1,100 merlot from hedges north block on red mountain its light spicy and simple without the muscle and verve of the states best merlots the fruit is forward crisply defined and tastes like fresh raspberries with some sharpedged tannins
2,100 varietal fragrant and dark with a spicy cinnamonorange tea flavor under the black cherry fruit this stellar malbec sports a thick and smoky midpalate with lots of new oak toastiness in the mouth a wonderful density with finegrained tannins and good length
3,8385 a dry style of wine which lacks some intensity there is dryness as well as a layer of confected fruit the aftertaste is hard
4,8486 rather hard this wine seems likely to be quite dry in style its sweetness hidden by structure
5,8587 barrel sample the new wood is too heavy here cutting right through the fruit it leaves a wine which is way too dry
6,8587 barrel sample this is light fresh on the dilute side with easy berry fruits and some juicy character not much depth here
7,8587 barrel sample this is rather lean austere with dry tannins the fruit too is dry more about tannin than fruit
8,8688 barrel sample dark dense and lean in character this wine misses real fruit weight the years crispness is evident
9,8688 this could work as a rich wine because there is good structure and piles of botrytis it could be delicious with its lovely dry finish but thats for the future
10,8789 a fresh wine which has good acidity and firm fruit tannins it seems to be a typical wine of the year fresh and fruity
11,8789 a rather lean wine which has the acidity but not the full botrytis effect quite delicate and rather austere
12,8789 barrel sample a hugely enjoyable wine finely structured with great sweetness and the brightest fruit
13,8789 barrel sample a wine that brings out the firmest of tannins but without all the fruit it is dry chunky somewhat hard edged
14,8789 barrel sample a wine that has a lean austere feel to it the tannins dry dark the other side is that the wine is all fruit the wood in support only the aftertaste is all fresh black cherry fruit flavors
15,8789 barrel sample high toast aromas packed with new wood flavors that rather submerge the fruit it is an early stage but the chateau needs to watch that wood
16,8789 barrel sample jammy in characterperhaps attributable to the 26 of petit verdot in the blendthis wine is soft and smooth but already developing well
17,8789 barrel sample minty aromas give lifted smooth fruit with an edge of caramel toast that sweetness seems to cut through the fruit leaving the fresh acidity behind
18,8789 barrel sample sweet blackcurrant and a gentle tannins the structure is obviously dense but the richness hides it to give a velvet wine
19,8789 barrel sample the tannins have taken over here hard to find the fruit there is structure in plenty and a solid base
20,8789 barrel sample this darkhued wine shows some fine tannins and has a solid fruit character and a bitter chocolate note
21,8789 barrel sample this is a good value in saintemilion with the same winemaking team as le dôme it is ripe dense with high acidity and firm black fruit
22,8789 barrel sample this is on the juicy side with sweet fruits quite light textured smooth and juicy
23,8890 barrel sample a firm and austere wine dominated by mineral tannins the fruit is solid chunky rather too extracted with bitter coffee flavors
24,8890 barrel sample juicy and fruity this wine shows attractive black currant flavors rounded with the tannins already well integrated
25,8890 barrel sample ripe and sweet plush fruit balanced sufficiently with acidity and some firm tannic character the wine is chunky but there is balance
26,8890 barrel sample sweet soft ripe full of very soft fruit flavors the ripeness of the year seems to have overtaken the wine
27,8890 barrel sample the second wine of château palmer is light fresh and fruity with accessible blackcurrant fruits there is a light touch of wood with delicious easy juicy acidity
28,8890 barrel sample this is a juicy wine that revels in its blackcurrant flavors its a rich fruity wine that also offers some firmer tannins
29,8890 barrel sample this is a ripe full wine thats very soft in the tannin department its pleasure comes from the warm plum fruits and open generous character
30,8890 barrel sample this lightbodied wine shows ripe fruit some spice and wood not a great weight but its fruity
31,8890 barrel sample this warm gentle wine is lush with spice fruit and soft tannins attractive acidity and touches of chocolate and licorice add complexity
32,8991 barrel sample a solid chunky sweet wine with lots of ripe bright fruits and vivid blackcurrants with this structure it will age
33,8991 barrel sample firmly tannic and dry the wine has density a dry core and complex structure with a firm character not yet hinting at fruit
34,8991 barrel sample forward with juicy fruit that offers plenty of acidity and seeminglysoft tannins this is a wine that should develop easily and quickly
